Title,DOI,relevance_score,is_data_available,is_model_used,is_dataset_public,dataset_link,citation_count,disease_focus,location_focus,keywords,models,discussion_recommendation
Comparing metapopulation dynamics of infectious diseases under different models of human movement,10.1073/pnas.2007488118,,,,,,,,,,,
Evaluating the impact of human flow on the spread of infectious diseases,10.1016/j.jtbi.2022.111367,,,,,,,,,,,
Modeling Impact of Temperature and Human Movement on the Persistence of Dengue Disease,10.1155/2017/1747134,9.0,,,no,not mentioned,14.0,dengue,global,"['human movement', 'dengue transmission', 'temperature impact']","['multipatch model', 'Next-Generation Matrix']","Yes, this paper should be included because it presents a comprehensive analysis of how human movement and temperature affect the transmission dynamics of dengue. The focus on multi-patch modeling and temperature dependencies makes it relevant for discussions on mobility and infectious diseases."
Human migration and infectious diseases,10.1111/j.1469-0691.2008.02694.x,8.0,,,no,not mentioned,43.0,not specified,global,"['emerging infectious diseases', 'human mobility', 'globalization']",[],"Yes, this paper should be included because it thoroughly explores the interplay between human mobility and the global spread of infectious diseases, which is highly relevant to discussions on the subject."
THE IMPORTANCE OF MOVEMENT IN ENVIRONMENTAL CHANGE AND INFECTIOUS DISEASE,,,,,,,,,,,,
Human mobility and the infectious disease transmission: a systematic review,10.1080/10095020.2023.2275619,9.0,,,no,not mentioned,4.0,"COVID-19, Influenza, respiratory illnesses, sexually transmitted diseases, vector-borne diseases",global,"['human mobility', 'infectious disease spread', 'systematic review']",[],"Yes, this paper should be included in the discussion as it extensively reviews the relationship between human mobility and a range of infectious diseases globally, covering a broad spectrum of scenarios which makes it highly relevant."
Human mobility and the infectious disease transmission: a systematic review,10.1080/10095020.2023.2275619,9.0,,,no,not mentioned,4.0,multiple diseases including COVID-19 and Influenza,global,"['human mobility', 'infectious disease spread', 'systematic review']",[],"Yes, this paper should be included because it comprehensively reviews the association between human mobility and the spread of various infectious diseases, making it highly relevant to the discussion on human mobility and infectious diseases."
Consequences of China's special send-down movement on infectious disease control in rural areas: a natural experiment,10.1016/j.ssmph.2023.101421,8.0,,,no,not mentioned,2.0,infectious diseases,China,"['send-down movement', 'infectious diseases', 'health literacy']",['difference-in-difference models'],"Yes, this paper should be included because it provides a historical example of how human mobility related to a governmental policy influenced the spread and control of infectious diseases in rural China."
"Contact structure, mobility, environmental impact and behaviour: the importance of social forces to infectious disease dynamics and disease ecology",10.1098/rstb.2016.0454,8.0,,,no,not mentioned,55.0,not specified,global,"['social-ecological systems', 'infectious diseases', 'human mobility']",['not specified'],"Yes, this paper should be included as it explores the impact of social structures and human mobility on infectious disease dynamics, crucial for understanding epidemic spread and control."
Seasonal Population Movements and the Surveillance and Control of Infectious Diseases,10.1016/j.pt.2016.10.006,,,,,,,,,,,
